iter	Passed	Remaining
0	1	133
1	2	123
2	3	118
3	4	108
4	5	107
5	6	106
6	7	105
7	9	106
8	10	106
9	11	105
10	12	104
11	14	103
12	15	101
13	16	100
14	17	98
15	18	97
16	19	96
17	21	95
18	22	94
19	23	93
20	24	92
21	25	91
22	26	90
23	28	88
24	29	87
25	30	86
26	31	85
27	32	84
28	33	82
29	35	81
30	36	81
31	38	80
32	39	80
33	40	79
34	42	78
35	43	77
36	44	76
37	46	75
38	47	73
39	48	72
40	50	72
41	50	69
42	51	68
43	53	67
44	54	66
45	56	65
46	57	64
47	58	63
48	60	62
49	61	61
50	63	60
51	64	59
52	65	58
53	67	57
54	68	55
55	69	54
56	70	53
57	72	52
58	73	51
59	74	49
60	76	48
61	77	47
62	78	46
63	79	44
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	102	23
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	118	8
93	119	7
94	120	6
95	121	5
96	123	3
97	124	2
98	125	1
99	127	0
